"","game_id","team_1","team_2","win_1","win_2","total_active_stars","cum_final_score","total_views","CombinedRevenues","FBRatio","TwitterRatio","CombinedPPG"
"35",21600035,"LAC","UTA",100,50,1,163,28903,478,0.0334865397242285,0.0333333333333333,213.1
"36",21600036,"GSW","PHX",50,0,4,206,50617,577,0.0847012475377544,0.108333333333333,217.4
"37",21600037,"MIA","SAS",50,100,1,205,32314,512,0.150361129349967,0.131666666666667,206.1
"38",21600038,"MIL","DET",50,50,1,181,12556,400,0.0216677609980302,0.0283333333333333,210.3
"39",21600039,"MEM","WAS",50,0,2,215,14195,428,0.0216677609980302,0.0283333333333333,205.9
"40",21600040,"LAL","OKC",50,100,1,209,36658,593,0.188443860801051,0.163333333333333,216
"41",21600041,"DAL","HOU",0,50,1,185,24543,529,0.0544977019041366,0.065,214.7
"42",21600042,"DEN","TOR",50,50,2,207,24322,452,0.0269205515430072,0.0383333333333333,221.7
"43",21600043,"CHI","BKN",100,33.33,1,206,33346,554,0.139198949441891,0.08,209.5
"44",21600044,"ATL","SAC",100,66.67,2,201,23520,449,0.0223243598161523,0.0333333333333333,202.3
"45",21600045,"LAC","PHX",100,0,1,214,22836,475,0.0380827314510834,0.0366666666666667,212.9
"46",21600046,"ORL","PHI",0,0,0,204,21285,395,0.0275771503611294,0.05,213.2
"47",21600047,"CLE","HOU",100,66.67,4,248,45160,576,0.0820748522652659,0.0933333333333333,223.3
"51",21600051,"NOP","MIL",0,33.33,2,230,14356,383,0.0196979645436638,0.0283333333333333,218.2
"52",21600052,"MIN","MEM",0,66.67,1,196,12816,410,0.0236375574523966,0.0283333333333333,208.8
"54",21600054,"GSW","POR",66.67,66.67,4,231,37632,582,0.0879842416283651,0.111666666666667,219.1
"55",21600055,"TOR","WAS",66.67,0,3,216,18661,472,0.0242941562705187,0.0383333333333333,218.3
"56",21600056,"PHI","CHA",0,66.67,1,202,12396,386,0.0210111621799081,0.04,218
"57",21600057,"BKN","DET",25,75,0,210,12283,494,0.03086014445174,0.0266666666666667,210.4
"58",21600058,"HOU","NYK",50,33.33,2,217,22497,722,0.0650032829940906,0.075,216.9
"59",21600059,"ATL","LAL",100,25,1,239,22293,580,0.151674326986211,0.14,211.5
"60",21600060,"NOP","MEM",0,50,2,172,11902,410,0.0223243598161523,0.0283333333333333,211
"62",21600062,"DAL","UTA",0,50,0,178,10241,454,0.0374261326329613,0.035,206.4
"64",21600064,"LAC","OKC",100,100,2,168,32263,479,0.0728824688115561,0.0633333333333333,216.9
"65",21600065,"ORL","SAC",25,40,1,196,19494,451,0.0295469468154957,0.04,202.3
"67",21600067,"DEN","MIN",33.33,33.33,0,201,15912,406,0.0242941562705187,0.0266666666666667,219.5
"68",21600068,"BOS","CLE",75,100,4,250,35052,537,0.116217990807617,0.105,214.9
"70",21600070,"ATL","WAS",75,0,2,187,21556,431,0.0203545633617859,0.0316666666666667,210
"71",21600071,"MIA","TOR",50,75,2,183,16590,503,0.117531188443861,0.101666666666667,215.1
"72",21600072,"BKN","CHA",40,75,1,194,12057,475,0.0295469468154957,0.0283333333333333,214.8
"74",21600074,"LAC","MEM",75,60,2,187,11167,463,0.0374261326329613,0.0366666666666667,208.3
"75",21600075,"NOP","PHX",0,20,1,223,19451,422,0.0229809586342745,0.0283333333333333,215.6
"76",21600076,"DAL","POR",0,40,0,200,12324,456,0.0453053184504268,0.0416666666666667,207.9
"77",21600077,"SAS","UTA",80,60,1,186,18885,480,0.0551543007222587,0.0666666666666667,206.8
"78",21600078,"GSW","LAL",80,40,4,214,50226,730,0.213394615889691,0.215,221.6
"79",21600079,"MIN","OKC",25,80,1,204,34055,426,0.0590938936309915,0.055,217.4
"80",21600080,"CLE","PHI",100,0,3,203,54229,464,0.066973079448457,0.0766666666666667,220.7
"81",21600081,"ORL","WAS",40,25,0,174,13713,433,0.0275771503611294,0.0383333333333333,210
"83",21600083,"CHI","IND",60,40,2,205,17387,486,0.142481943532502,0.085,208.5
"84",21600084,"ATL","HOU",60,60,2,209,19454,505,0.0354563361785949,0.06,215.8
"85",21600085,"MIL","SAC",60,33.33,2,208,14313,419,0.0210111621799081,0.03,205.4
"86",21600086,"LAC","SAS",80,83.33,2,208,35096,516,0.0728824688115561,0.0766666666666667,211.7
"87",21600087,"NYK","UTA",40,50,2,223,32867,647,0.0479317137229153,0.045,208.6
"88",21600088,"POR","MEM",50,50,1,194,22621,429,0.0275771503611294,0.0333333333333333,204.9
"89",21600089,"SAC","TOR",28.57,80,3,187,19734,490,0.0262639527248851,0.04,210.6
"90",21600090,"DAL","MIL",0,66.67,1,161,19651,412,0.0387393302692055,0.0383333333333333,208.8
"91",21600091,"BOS","DEN",60,40,1,230,13062,459,0.0715692711753119,0.0666666666666667,214
"92",21600092,"LAL","PHX",50,33.33,0,227,23222,589,0.153644123440578,0.136666666666667,212
"94",21600094,"HOU","WAS",50,20,2,220,20057,518,0.0347997373604727,0.055,219
"95",21600095,"IND","CHA",50,80,2,222,13954,407,0.0328299409061064,0.0333333333333333,213.8
"97",21600097,"MIA","OKC",40,83.33,1,182,21952,475,0.150361129349967,0.118333333333333,211.3
"98",21600098,"LAC","DET",83.33,66.67,1,196,14044,478,0.0380827314510834,0.035,212.8
"99",21600099,"NOP","GSW",0,66.67,5,222,42524,563,0.082731451083388,0.106666666666667,225.2
"100",21600100,"ATL","CLE",66.67,100,4,216,44960,489,0.0676296782665791,0.07,214.3
"101",21600101,"MIN","BKN",20,33.33,0,229,18683,477,0.0302035456336179,0.0266666666666667,216.1
"102",21600102,"DEN","MEM",50,42.86,1,215,16643,408,0.0242941562705187,0.0283333333333333,209.3
"103",21600103,"PHX","POR",28.57,57.14,0,245,16491,441,0.0282337491792515,0.0333333333333333,209.5
"104",21600104,"DAL","LAL",16.67,57.14,0,206,24491,604,0.170715692711753,0.145,210.4
"105",21600105,"NOP","SAC",0,37.5,2,196,9374,444,0.0223243598161523,0.0283333333333333,210.6
"106",21600106,"BKN","NYK",42.86,33.33,1,206,23224,699,0.0584372948128693,0.0466666666666667,211.1
"107",21600107,"BOS","WAS",50,16.67,2,211,11471,479,0.0689428759028234,0.0666666666666667,210.6
"108",21600108,"UTA","CHA",62.5,83.33,2,202,9833,423,0.0190413657255417,0.0266666666666667,212.3
"109",21600109,"MIN","ORL",16.67,42.86,0,230,10826,415,0.0295469468154957,0.0383333333333333,212.9
"110",21600110,"IND","PHI",42.86,0,1,237,18285,389,0.0315167432698621,0.0433333333333333,215.4
"111",21600111,"ATL","CHI",71.43,57.14,2,222,19354,490,0.131319763624425,0.085,206.3
"114",21600114,"HOU","SAS",57.14,71.43,2,200,30160,555,0.072225869993434,0.0966666666666667,215.1
"115",21600115,"LAC","POR",85.71,62.5,1,191,14308,480,0.041365725541694,0.04,214.6
"116",21600116,"DAL","GSW",28.57,71.43,4,211,30939,592,0.10177281680893,0.116666666666667,215.8
"117",21600117,"NOP","MIL",0,57.14,2,218,19504,383,0.0196979645436638,0.0283333333333333,218.2
"118",21600118,"CHI","MIA",50,33.33,1,193,33327,534,0.223900196979645,0.143333333333333,206.3
"120",21600120,"LAL","SAC",50,44.44,1,192,21465,611,0.152987524622456,0.136666666666667,207
"121",21600121,"IND","PHI",50,0,1,214,26058,389,0.0315167432698621,0.0433333333333333,215.4
"123",21600123,"TOR","CHA",71.43,85.71,3,224,18236,452,0.025607353906763,0.04,219.9
"124",21600124,"ORL","UTA",37.5,55.56,1,161,8935,432,0.025607353906763,0.0366666666666667,207.5
"125",21600125,"BOS","NYK",42.86,42.86,2,202,26413,683,0.0991464215364412,0.0866666666666667,208.5
"126",21600126,"LAC","OKC",87.5,75,2,218,34404,479,0.0728824688115561,0.0633333333333333,216.9
"127",21600127,"SAS","DET",62.5,50,1,182,18795,480,0.0597504924491136,0.0683333333333333,206.5
"128",21600128,"POR","SAC",55.56,40,1,242,19891,463,0.0275771503611294,0.0333333333333333,204.5
"129",21600129,"NOP","LAL",11.11,55.56,1,225,31346,575,0.151674326986211,0.135,219.8
"131",21600131,"NYK","TOR",37.5,75,3,225,28280,676,0.0544977019041366,0.0583333333333333,216.2
"135",21600135,"LAC","MIN",88.89,28.57,1,224,17917,461,0.0374261326329613,0.035,218.5
"136",21600136,"MIA","UTA",28.57,60,1,193,7971,474,0.11096520026264,0.0883333333333333,207.5
"137",21600137,"MIL","MEM",50,50,2,202,10469,385,0.0210111621799081,0.03,205.8
"139",21600139,"BKN","PHX",37.5,33.33,0,226,9926,491,0.03086014445174,0.0283333333333333,210.5
"141",21600141,"ORL","OKC",33.33,66.67,1,236,28191,433,0.0650032829940906,0.0666666666666667,211.3
"142",21600142,"LAL","MIN",60,25,0,224,27046,575,0.152987524622456,0.135,217.6
"143",21600143,"GSW","PHX",77.78,30,4,253,39426,577,0.0847012475377544,0.108333333333333,217.4
"144",21600144,"DEN","POR",33.33,60,0,217,13463,425,0.0282337491792515,0.0316666666666667,215.6
"145",21600145,"ORL","IND",40,40,1,157,14038,416,0.0393959290873276,0.0433333333333333,209
"146",21600146,"DAL","NYK",25,33.33,1,170,21157,659,0.0695994747209455,0.0566666666666667,206.8
"150",21600150,"MIA","SAS",25,70,1,184,15588,512,0.150361129349967,0.131666666666667,206.1
"151",21600151,"UTA","MEM",63.64,44.44,2,198,12146,427,0.0196979645436638,0.0266666666666667,203.4
"152",21600152,"LAC","BKN",90,44.44,1,222,13046,530,0.0439921208141825,0.035,215.6
"153",21600153,"CLE","TOR",88.89,77.78,5,238,40979,530,0.0715692711753119,0.0766666666666667,222.6
"154",21600154,"ATL","MIA",77.78,22.22,1,183,19854,462,0.113591595535128,0.095,206.8
"155",21600155,"MIN","CHA",33.33,66.67,1,223,16568,406,0.0229809586342745,0.0283333333333333,217.7
"156",21600156,"CHI","POR",60,63.64,1,201,18934,504,0.136572554169402,0.085,208.5
"157",21600157,"LAL","BKN",54.55,40,0,243,25781,644,0.159553512803677,0.135,214.7
"158",21600158,"PHI","WAS",10,22.22,1,211,15267,406,0.0196979645436638,0.0383333333333333,216.4
"159",21600159,"NOP","ORL",18.18,36.36,1,171,8359,415,0.0282337491792515,0.0383333333333333,215.1
"161",21600161,"BOS","DAL",50,22.22,1,173,11430,490,0.0886408404464872,0.0766666666666667,206.3
"164",21600164,"HOU","OKC",60,54.55,2,208,30143,518,0.072225869993434,0.0833333333333333,220.3
"165",21600165,"GSW","TOR",80,70,6,248,39188,609,0.0866710439921208,0.118333333333333,225.2
"166",21600166,"DEN","PHX",30,27.27,0,224,6777,420,0.0249507550886408,0.0283333333333333,213.9
"167",21600167,"LAC","MEM",90.91,50,2,218,21758,463,0.0374261326329613,0.0366666666666667,208.3
"168",21600168,"SAC","SAS",36.36,72.73,2,215,14713,499,0.0590938936309915,0.07,201.6
"169",21600169,"NYK","WAS",45.45,20,2,231,23430,648,0.0499015101772817,0.0466666666666667,211.1
"171",21600171,"HOU","POR",54.55,58.33,1,235,15024,519,0.0407091267235719,0.06,218
"172",21600172,"MIN","PHI",30,18.18,0,196,12168,388,0.0216677609980302,0.0383333333333333,219.3
"173",21600173,"CHI","UTA",63.64,58.33,2,162,17728,502,0.128693368351937,0.0783333333333333,207
"174",21600174,"ATL","CHA",81.82,70,2,196,18471,411,0.0216677609980302,0.0333333333333333,211.6
"175",21600175,"CLE","DET",81.82,50,3,185,22137,501,0.0695994747209455,0.065,214.7
"177",21600177,"NOP","POR",16.67,53.85,1,214,9482,427,0.0262639527248851,0.0316666666666667,217.3
"179",21600179,"BOS","GSW",54.55,81.82,5,192,31186,616,0.131319763624425,0.146666666666667,217.5
"180",21600180,"DAL","MEM",20,54.55,1,144,7881,439,0.041365725541694,0.0383333333333333,201.6
"181",21600181,"DEN","TOR",36.36,63.64,2,224,15187,452,0.0269205515430072,0.0383333333333333,221.7
"182",21600182,"LAL","SAS",58.33,75,1,223,26190,630,0.188443860801051,0.176666666666667,210.8
"183",21600183,"LAC","SAC",83.33,33.33,2,236,14178,497,0.0374261326329613,0.0366666666666667,207.9
"184",21600184,"HOU","UTA",58.33,53.85,2,213,23656,517,0.0328299409061064,0.0533333333333333,216.5
"185",21600185,"NOP","CHA",23.08,72.73,2,237,22051,406,0.0216677609980302,0.0283333333333333,219.9
"186",21600186,"MIA","WAS",27.27,27.27,1,225,12463,475,0.112934996717006,0.09,210
"187",21600187,"DAL","ORL",18.18,41.67,0,182,9890,444,0.0472751149047932,0.0483333333333333,205.7
"188",21600188,"BOS","DET",50,46.15,1,186,15869,478,0.0715692711753119,0.0666666666666667,207.8
"189",21600189,"PHI","PHX",16.67,30.77,0,225,11301,402,0.0223243598161523,0.04,213.7
"190",21600190,"MIN","MEM",36.36,58.33,1,164,13000,410,0.0236375574523966,0.0283333333333333,208.8
"191",21600191,"GSW","MIL",83.33,45.45,5,245,37770,538,0.0814182534471438,0.108333333333333,220
"193",21600193,"ATL","NYK",75,41.67,2,198,26525,635,0.0505581089954038,0.0516666666666667,207.9
"194",21600194,"BKN","POR",33.33,50,0,238,17475,496,0.0341431385423506,0.0316666666666667,212.2
"195",21600195,"IND","OKC",46.15,61.54,1,226,33431,427,0.0689428759028234,0.06,213.5
"197",21600197,"DEN","UTA",33.33,50,1,196,7274,423,0.0203545633617859,0.025,214.1
"198",21600198,"CHI","LAL",61.54,53.85,1,228,29265,652,0.261982928430729,0.188333333333333,211
"199",21600199,"MIA","PHI",33.33,23.08,0,195,17913,437,0.112934996717006,0.101666666666667,213.2
"200",21600200,"PHX","WAS",28.57,25,1,207,10283,440,0.0223243598161523,0.0283333333333333,210.5
"202",21600202,"GSW","IND",84.62,50,4,203,29362,564,0.0938936309914642,0.111666666666667,219.1
"204",21600204,"MIL","ORL",41.67,46.15,1,182,9893,390,0.0269205515430072,0.04,209.9
"205",21600205,"BOS","MIN",53.85,33.33,1,192,16458,461,0.0709126723571898,0.0666666666666667,213.5
"207",21600207,"LAC","TOR",85.71,61.54,3,238,24465,507,0.0400525279054498,0.0466666666666667,220.7
"208",21600208,"NYK","POR",46.15,53.33,1,210,29689,649,0.0558108995403808,0.0516666666666667,210.1
"209",21600209,"ATL","NOP",69.23,28.57,2,206,15326,413,0.0210111621799081,0.0316666666666667,215.1
"210",21600210,"CHI","DEN",64.29,38.46,1,217,23234,483,0.133289560078792,0.08,212.9
"211",21600211,"LAL","OKC",50,57.14,1,220,36747,593,0.188443860801051,0.163333333333333,216
"212",21600212,"PHI","MEM",28.57,64.29,1,203,21969,390,0.0216677609980302,0.04,209.1
"213",21600213,"SAS","CHA",78.57,61.54,2,233,22375,461,0.0584372948128693,0.07,210.9
"214",21600214,"ORL","PHX",42.86,26.67,0,179,6173,429,0.0302035456336179,0.04,207.3
"215",21600215,"CLE","POR",83.33,50,3,262,35224,503,0.0728824688115561,0.07,216.5
"216",21600216,"ATL","IND",64.29,46.67,2,181,7431,414,0.0321733420879842,0.0366666666666667,209
"218",21600218,"MIA","DET",30.77,40,0,191,6105,474,0.115561391989494,0.09,207.2
"219",21600219,"HOU","TOR",64.29,57.14,3,217,14694,546,0.0393959290873276,0.0666666666666667,224.1
"221",21600221,"DEN","UTA",42.86,46.67,1,191,5940,423,0.0203545633617859,0.025,214.1
"222",21600222,"NOP","MIN",33.33,30.77,1,213,14783,408,0.0223243598161523,0.0266666666666667,221.2
"223",21600223,"GSW","LAL",85.71,53.33,4,255,36581,730,0.213394615889691,0.215,221.6
"224",21600224,"SAC","OKC",35.71,53.33,2,217,14319,462,0.0590938936309915,0.0566666666666667,206.8
"225",21600225,"BOS","SAS",60,80,2,212,28987,516,0.106369008535785,0.108333333333333,206.7
"226",21600226,"ORL","WAS",40,30.77,1,185,14862,433,0.0275771503611294,0.0383333333333333,210
"227",21600227,"CLE","DAL",84.62,14.29,3,218,25988,513,0.0866710439921208,0.075,213.2
"228",21600228,"NYK","CHA",50,57.14,2,224,27379,628,0.0512147078135259,0.0483333333333333,212.7
"230",21600230,"LAC","DET",87.5,43.75,1,205,17516,478,0.0380827314510834,0.035,212.8
"231",21600231,"ATL","UTA",66.67,50,2,163,6643,430,0.0183847669074196,0.03,207.5
"232",21600232,"MIL","TOR",46.15,60,3,204,15468,429,0.0236375574523966,0.04,218.2
"233",21600233,"MIA","MEM",28.57,66.67,1,171,6767,459,0.114904793171372,0.0916666666666667,202.7
"234",21600234,"BKN","IND",28.57,43.75,1,215,4767,478,0.0400525279054498,0.0316666666666667,212.2
"235",21600235,"DEN","OKC",40,50,1,261,23764,424,0.0597504924491136,0.055,217.9
"236",21600236,"MIN","PHX",28.57,31.25,0,183,10789,422,0.0242941562705187,0.0283333333333333,213.4
"237",21600237,"NOP","POR",37.5,47.06,1,223,11599,427,0.0262639527248851,0.0316666666666667,217.3
"238",21600238,"GSW","LAL",86.67,50,4,194,35529,730,0.213394615889691,0.215,221.6
"239",21600239,"HOU","SAC",60,40,2,221,9249,536,0.0367695338148391,0.0566666666666667,211.3
"240",21600240,"SAS","WAS",81.25,35.71,2,212,19953,481,0.0571240971766251,0.0683333333333333,209.3
"241",21600241,"NYK","CHA",53.33,53.33,2,209,28648,628,0.0512147078135259,0.0483333333333333,212.7
"243",21600243,"MIA","MEM",33.33,62.5,1,217,16264,459,0.114904793171372,0.0916666666666667,202.7
"244",21600244,"GSW","MIN",87.5,33.33,4,217,38532,563,0.0840446487196323,0.106666666666667,223
"245",21600245,"CLE","PHI",85.71,25,3,220,34859,464,0.066973079448457,0.0766666666666667,220.7
"247",21600247,"BKN","SAC",26.67,37.5,1,227,9640,513,0.0302035456336179,0.0283333333333333,205.5
"248",21600248,"MIL","ORL",42.86,37.5,1,200,8776,390,0.0269205515430072,0.04,209.9
"249",21600249,"LAC","IND",82.35,47.06,2,161,15987,462,0.0472751149047932,0.04,214.6
"251",21600251,"HOU","POR",62.5,50,1,244,14172,519,0.0407091267235719,0.06,218
"252",21600252,"ATL","LAL",62.5,47.06,1,203,18956,580,0.151674326986211,0.14,211.5
"253",21600253,"SAC","WAS",41.18,33.33,2,196,16111,462,0.0216677609980302,0.0283333333333333,205.5
"254",21600254,"PHI","TOR",23.53,62.5,2,217,9669,434,0.0242941562705187,0.05,221.5
"255",21600255,"NYK","OKC",50,55.56,2,215,30631,648,0.0873276428102429,0.075,212.4
"256",21600256,"BOS","MIA",56.25,31.25,1,216,11282,510,0.162179908076165,0.13,207.4
"257",21600257,"MEM","CHA",64.71,56.25,2,189,5784,408,0.0229809586342745,0.03,207.5
"258",21600258,"MIN","UTA",31.25,52.94,1,215,14293,425,0.0196979645436638,0.025,213.6
"259",21600259,"ATL","GSW",58.82,88.24,5,205,37234,568,0.082731451083388,0.111666666666667,216.9
"260",21600260,"DET","CHA",44.44,58.82,1,201,13483,423,0.0236375574523966,0.0283333333333333,212
"262",21600262,"CLE","MIL",86.67,46.67,4,219,30876,459,0.0663164806303349,0.0666666666666667,217.4
"263",21600263,"NOP","LAL",33.33,50,1,193,14674,575,0.151674326986211,0.135,219.8
"264",21600264,"ORL","SAS",35.29,82.35,1,178,14272,470,0.0650032829940906,0.08,206.1
"265",21600265,"HOU","UTA",64.71,55.56,2,221,13192,517,0.0328299409061064,0.0533333333333333,216.5
"266",21600267,"BOS","DET",58.82,47.37,1,235,14636,478,0.0715692711753119,0.0666666666666667,207.8
"267",21600268,"TOR","MEM",64.71,61.11,3,225,12089,456,0.0262639527248851,0.04,211
"268",21600269,"CHI","LAL",62.5,47.37,1,186,27306,652,0.261982928430729,0.188333333333333,211
"269",21600270,"OKC","WAS",57.89,37.5,2,241,23238,444,0.0571240971766251,0.055,214.5
"270",21600271,"MIN","NYK",29.41,47.06,1,210,23718,630,0.0518713066316481,0.0466666666666667,214
"271",21600272,"DAL","SAS",18.75,77.78,1,181,14271,492,0.0768220617202889,0.0783333333333333,205
"272",21600273,"DEN","MIA",41.18,29.41,0,204,7407,455,0.115561391989494,0.09,213.4
"273",21600274,"ATL","PHX",55.56,27.78,1,216,9606,427,0.0229809586342745,0.0333333333333333,207.3
"274",21600275,"IND","POR",50,47.37,1,240,9376,428,0.0374261326329613,0.0366666666666667,211.2
"276",21600277,"MIL","BKN",50,29.41,1,204,12311,452,0.0275771503611293,0.0283333333333333,213.1
"277",21600278,"ORL","MEM",38.89,57.89,1,189,12176,417,0.0295469468154957,0.04,202.7
"278",21600279,"CLE","LAC",81.25,73.68,4,207,41615,537,0.082731451083388,0.0733333333333333,219.9
"279",21600280,"MIA","UTA",33.33,57.89,1,221,13560,474,0.11096520026264,0.0883333333333333,207.5
"280",21600281,"GSW","HOU",88.89,61.11,5,259,51648,655,0.0971766250820748,0.135,225.9
"281",21600282,"ORL","PHI",36.84,22.22,0,193,14635,395,0.0275771503611294,0.05,213.2
"282",21600283,"BOS","SAC",55.56,38.89,2,189,15651,497,0.0709126723571898,0.0683333333333333,202.9
"283",21600284,"LAL","TOR",50,66.67,2,193,14877,621,0.155613919894944,0.146666666666667,219.8
"284",21600285,"MIN","NYK",27.78,50,1,232,22862,630,0.0518713066316481,0.0466666666666667,214
"285",21600286,"CLE","CHI",76.47,58.82,4,216,46093,561,0.177938279711096,0.118333333333333,213.8
"287",21600288,"ATL","DET",52.63,50,1,206,5376,430,0.0229809586342745,0.0316666666666667,207.2
"288",21600289,"SAS","WAS",78.95,35.29,2,212,22345,481,0.0571240971766251,0.0683333333333333,209.3
"289",21600290,"DEN","HOU",38.89,63.16,1,238,13327,498,0.0374261326329613,0.055,222.4
"290",21600291,"MIL","BKN",52.94,27.78,1,215,17952,452,0.0275771503611293,0.0283333333333333,213.1
"292",21600293,"ATL","TOR",50,68.42,2,212,10938,459,0.0249507550886408,0.0433333333333333,215.1
"293",21600294,"BOS","PHI",57.89,21.05,1,213,17192,441,0.0689428759028234,0.0783333333333333,213.8
"295",21600296,"CHI","DAL",61.11,16.67,1,189,12441,514,0.150361129349967,0.09,205.2
"297",21600298,"MIA","POR",36.84,50,0,191,10762,476,0.118844386080105,0.095,209
"299",21600300,"ORL","DET",40,52.38,0,190,13916,432,0.0302035456336179,0.0383333333333333,207.2
"300",21600301,"NOP","OKC",35,60,2,193,25609,426,0.0577806959947472,0.055,219.6
"301",21600302,"NYK","SAC",52.63,36.84,2,204,23499,666,0.0518713066316481,0.0483333333333333,203.4
"302",21600303,"LAC","IND",76.19,47.37,2,213,19669,462,0.0472751149047932,0.04,214.6
"304",21600305,"CLE","TOR",72.22,70,5,228,34190,530,0.0715692711753119,0.0766666666666667,222.6
"305",21600306,"BKN","WAS",26.32,33.33,1,231,8450,495,0.0282337491792515,0.0266666666666667,213.2
"306",21600307,"ATL","OKC",47.62,61.9,2,201,22026,431,0.0577806959947472,0.06,211.3
"308",21600309,"MIL","SAS",55.56,80,2,193,20959,438,0.0564674983585029,0.07,209.2
"310",21600311,"BOS","HOU",60,65,2,213,18199,553,0.0840446487196323,0.095,216.4
"311",21600312,"DAL","CHA",21.05,55,1,210,7203,435,0.0407091267235719,0.0383333333333333,210.5
"312",21600313,"LAL","UTA",45.45,57.14,1,208,14847,592,0.149047931713723,0.133333333333333,212.2
"315",21600316,"MIA","NYK",35,55,1,217,24024,679,0.143138542350624,0.11,207.9
"316",21600317,"CHI","DET",55,50,1,193,17294,502,0.133289560078792,0.08,206.7
"317",21600318,"PHI","MEM",19.05,63.64,1,187,13211,390,0.0216677609980302,0.04,209.1
"318",21600319,"MIN","SAS",30,80.95,1,196,22517,463,0.0590938936309915,0.0683333333333333,212.2
"319",21600320,"PHX","UTA",30,59.09,1,217,11534,439,0.0203545633617859,0.0266666666666667,208
"320",21600321,"DET","CHA",52.17,57.14,1,164,11351,423,0.0236375574523966,0.0283333333333333,212
"321",21600322,"BOS","ORL",57.14,45.45,0,204,12283,468,0.0768220617202889,0.0783333333333333,207.4
"323",21600324,"ATL","MIA",45.45,33.33,1,198,9010,462,0.113591595535128,0.095,206.8
"324",21600325,"MIL","POR",52.63,54.55,1,222,14175,402,0.0249507550886408,0.0333333333333333,212.1
"325",21600326,"HOU","LAL",66.67,43.48,1,229,13980,667,0.166119500984898,0.163333333333333,220.5
"326",21600327,"CLE","NYK",73.68,57.14,4,220,29581,706,0.0971766250820748,0.085,215.4
"327",21600328,"DAL","SAC",20,35,1,209,5694,473,0.041365725541694,0.0383333333333333,201.2
"328",21600329,"IND","PHX",47.62,28.57,1,203,6727,423,0.0341431385423506,0.0333333333333333,209.5
"329",21600330,"GSW","LAC",85.71,72.73,5,213,38097,616,0.097833223900197,0.115,222.5
"330",21600331,"MIN","TOR",28.57,66.67,2,234,25777,454,0.0262639527248851,0.0383333333333333,221.2
"331",21600332,"DEN","WAS",36.36,35,1,177,14510,424,0.0223243598161523,0.0266666666666667,216.6
